,latitude,longitude,surface,azim,kWp,tilt
286,,,20,70.0,2.4,30.0
287,,,30,-5.0,4.0,35.0
288,,,21,0.0,2.94,20.0
289,,,23,-90.0,2.94,20.0
290,,,26,80.0,3.5,35.0
291,,,20,30.0,3.2,30.0
292,,,20,-45.0,2.88,45.0
293,,,22,15.0,2.88,20.0
294,,,182,15.0,35.616,15.0
295,,,18,-80.0,2.996,15.0
296,,,16,-85.0,2.0,30.0
297,,,181,0.0,27.69,20.0
298,,,23,-30.0,2.992,15.0
299,,,18,-45.0,3.24,45.0
300,,,25,-70.0,3.0,20.0
301,,,16,15.0,2.75,30.0
302,,,22,0.0,3.0,20.0
303,,,21,-45.0,2.996,30.0
304,,,24,0.0,3.0,35.0
305,,,23,0.0,2.76,30.0
306,,,22,45.0,2.94,15.0
307,,,45,-40.0,6.0,15.0
308,,,21,0.0,2.944,30.0
309,,,20,0.0,2.775,35.0
310,,,24,20.0,2.97,20.0
311,,,23,-95.0,3.0,20.0
312,,,18,5.0,2.4,30.0
313,,,23,10.0,2.94,30.0
314,,,20,45.0,2.46,30.0
315,,,60,-55.0,8.925,45.0
316,,,21,0.0,2.8,30.0
317,,,22,-45.0,2.992,20.0
318,,,23,-25.0,2.996,40.0
319,,,56,10.0,9.0,20.0
320,,,18,-45.0,2.996,40.0
321,,,19,40.0,2.996,20.0
322,,,27,55.0,2.988,20.0
323,,,21,20.0,2.8,30.0
324,,,25,-10.0,2.97,30.0
325,,,21,15.0,2.96,20.0
326,,,16,-90.0,2.22,20.0
327,,,24,-60.0,2.1,45.0
328,,,22,45.0,2.975,15.0
329,,,20,90.0,2.96,30.0
330,,,22,45.0,2.96,40.0
331,,,20,90.0,2.96,15.0
332,,,18,-15.0,2.8,15.0
333,,,18,-75.0,2.94,20.0
334,,,45,0.0,6.75,20.0
335,,,28,30.0,3.0,20.0
336,,,25,10.0,2.96,35.0
337,,,18,0.0,2.99,45.0
338,,,24,15.0,2.1,20.0
339,,,20,0.0,2.82,20.0
340,,,22,-70.0,2.64,45.0
341,,,60,15.0,9.0,45.0
342,,,20,5.0,3.08,20.0
343,,,24,70.0,2.8,30.0
344,,,20,-10.0,2.7,50.0
345,,,16,-45.0,3.0,35.0
346,,,23,-50.0,3.0,20.0
347,,,21,45.0,2.94,35.0
348,,,23,-60.0,3.0,30.0
349,,,60,-5.0,9.0,15.0
350,,,24,-40.0,3.0,30.0
351,,,23,45.0,2.66,20.0
352,,,22,-10.0,2.97,40.0
353,,,24,-90.0,2.88,45.0
354,,,20,90.0,3.0,30.0
355,,,18,-100.0,2.38,25.0
356,,,22,-45.0,2.96,20.0
357,,,23,35.0,3.0,40.0
358,,,27,10.0,3.0,15.0
359,,,20,-45.0,2.88,35.0
360,,,20,-85.0,3.0,20.0
361,,,18,-90.0,2.996,20.0
362,,,21,80.0,2.925,45.0
363,,,23,0.0,2.94,20.0
364,,,21,-5.0,2.94,20.0
365,,,21,20.0,2.96,25.0
366,,,18,-20.0,2.82,35.0
367,,,21,45.0,2.94,20.0
368,,,20,0.0,3.06,5.0
369,,,21,90.0,3.0,15.0
370,,,60,-5.0,8.64,15.0
371,,,24,0.0,2.64,30.0
372,,,21,25.0,2.96,20.0
373,,,18,0.0,2.928,40.0
374,,,21,90.0,2.982,15.0
375,,,11,0.0,1.44,40.0
376,,,34,0.0,3.0,20.0
377,,,23,-45.0,2.96,30.0
378,,,15,-5.0,2.16,15.0
379,,,18,10.0,2.99,45.0
380,,,18,5.0,2.996,30.0
381,,,15,35.0,2.94,20.0
382,,,16,180.0,3.0,15.0
383,,,27,-20.0,3.0,15.0
384,,,39,10.0,6.0,20.0
385,,,15,0.0,2.58,30.0
386,,,23,45.0,2.94,20.0
387,,,23,40.0,2.94,40.0
388,,,24,-35.0,2.96,25.0
389,,,23,5.0,2.94,15.0
390,,,134,40.0,16.1,45.0
391,,,18,-125.0,2.16,15.0
392,,,23,70.0,2.996,20.0
393,,,20,-10.0,2.94,20.0
394,,,12,-10.0,1.72,20.0
395,,,22,-90.0,2.94,45.0
396,,,21,45.0,2.72,30.0
397,,,21,10.0,2.8,35.0
398,,,17,90.0,2.88,30.0
399,,,21,0.0,2.96,35.0
